time,open,high,low,close,tick_volume,spread,real_volume
2026-02-18 14:38:00,1.18469,1.18471,1.18455,1.18455,85,1,0
2026-02-18 14:40:00,1.18454,1.18456,1.18444,1.18445,36,1,0
2026-02-18 14:41:00,1.18444,1.1844999999999999,1.18442,1.1844999999999999,33,1,0
2026-02-18 14:42:00,1.1844999999999999,1.18456,1.18446,1.18451,45,0,0
2026-02-18 14:43:00,1.18453,1.18455,1.18439,1.18448,58,0,0
2026-02-18 14:44:00,1.18446,1.18448,1.18446,1.18447,5,1,0
2026-02-18 14:44:00,1.18446,1.18448,1.1844000000000001,1.1844000000000001,69,0,0
2026-02-18 15:06:00,1.1844999999999999,1.1844999999999999,1.1844999999999999,1.1844999999999999,1,3,0
2026-02-18 15:07:00,1.18466,1.18466,1.18466,1.18466,1,2,0
2026-02-18 15:08:00,1.18478,1.18478,1.18478,1.18478,1,3,0
2026-02-18 15:09:00,1.18476,1.18479,1.18476,1.18479,4,3,0
2026-02-18 15:10:00,1.18445,1.18445,1.18445,1.18445,1,5,0
2026-02-18 15:11:00,1.18444,1.18444,1.18444,1.18444,1,3,0
2026-02-18 15:11:00,1.18444,1.18455,1.18441,1.18441,69,0,0
2026-02-18 15:11:00,1.18444,1.18455,1.18441,1.18441,69,0,0
2026-02-18 15:12:00,1.18441,1.1844999999999999,1.18441,1.18444,62,0,0
2026-02-18 15:13:00,1.18442,1.18442,1.18434,1.18434,15,0,0
2026-02-18 15:13:00,1.18442,1.18442,1.18418,1.1843,82,0,0
2026-02-18 15:14:00,1.18429,1.18431,1.18429,1.18431,5,2,0
2026-02-18 15:14:00,1.18429,1.18445,1.18429,1.18444,61,0,0
2026-02-18 15:15:00,1.18445,1.18447,1.18445,1.18445,3,0,0
2026-02-18 15:15:00,1.18445,1.18447,1.18442,1.18444,10,0,0
2026-02-18 15:15:00,1.18445,1.18453,1.18441,1.1844999999999999,86,0,0
2026-02-18 15:16:00,1.18449,1.1844999999999999,1.18449,1.18449,3,2,0
2026-02-18 15:16:00,1.18449,1.1844999999999999,1.18449,1.18449,7,2,0
2026-02-18 15:16:00,1.18449,1.18461,1.18445,1.18457,87,0,0
2026-02-18 15:17:00,1.18457,1.18457,1.18457,1.18457,1,6,0
2026-02-18 15:17:00,1.18457,1.18458,1.18455,1.18456,8,2,0
2026-02-18 15:17:00,1.18457,1.18458,1.18441,1.18441,27,0,0
2026-02-18 15:18:00,1.18455,1.18456,1.18447,1.18449,29,1,0
2026-02-18 15:18:00,1.18455,1.18456,1.18447,1.18449,29,1,0
2026-02-18 15:19:00,1.18448,1.1844999999999999,1.18444,1.1844999999999999,40,0,0
2026-02-18 15:19:00,1.18448,1.18453,1.18444,1.18453,46,0,0
2026-02-18 15:20:00,1.18446,1.18451,1.18433,1.18438,76,0,0
2026-02-18 15:20:00,1.18446,1.18451,1.18433,1.18438,83,0,0
2026-02-18 15:21:00,1.18447,1.18452,1.18438,1.1844000000000001,65,0,0
2026-02-18 15:21:00,1.18447,1.18452,1.18438,1.18443,66,0,0
2026-02-18 15:22:00,1.18438,1.1844000000000001,1.18431,1.18434,37,1,0
2026-02-18 15:22:00,1.18438,1.1844000000000001,1.18431,1.18434,37,1,0
2026-02-18 15:23:00,1.18423,1.18425,1.184,1.18405,117,0,0
2026-02-18 15:23:00,1.18423,1.18425,1.184,1.18408,123,0,0
2026-02-18 15:24:00,1.18414,1.1842,1.18409,1.18411,65,0,0
2026-02-18 15:24:00,1.18414,1.1842,1.18409,1.18411,79,0,0
2026-02-18 15:25:00,1.18411,1.18411,1.18397,1.18402,62,1,0
2026-02-18 15:25:00,1.18411,1.18411,1.18397,1.18399,69,1,0
2026-02-18 15:26:00,1.18401,1.1840600000000001,1.184,1.18403,47,0,0
2026-02-18 15:26:00,1.18401,1.1840600000000001,1.184,1.18403,51,0,0
2026-02-18 15:27:00,1.18401,1.18403,1.18395,1.18395,36,1,0
