time,open,high,low,close,tick_volume,spread,real_volume
2026-02-18 16:33:00,1.18206,1.18208,1.18196,1.18207,42,0,0
2026-02-18 16:34:00,1.18207,1.18211,1.18199,1.18207,97,0,0
2026-02-18 16:35:00,1.18207,1.18237,1.18205,1.18233,103,0,0
2026-02-18 16:36:00,1.18234,1.18237,1.18225,1.18229,98,0,0
2026-02-18 16:37:00,1.18229,1.18231,1.18213,1.18218,114,1,0
2026-02-18 16:38:00,1.18218,1.18228,1.18207,1.18221,115,0,0
2026-02-18 16:39:00,1.18221,1.18231,1.18205,1.1823,94,0,0
2026-02-18 16:40:00,1.1823,1.18233,1.18213,1.18232,72,0,0
2026-02-18 16:41:00,1.18232,1.18242,1.18228,1.18231,100,0,0
2026-02-18 16:42:00,1.18231,1.18239,1.18226,1.18232,83,0,0
2026-02-18 16:43:00,1.18232,1.18242,1.18231,1.18241,56,0,0
2026-02-18 16:44:00,1.18241,1.18241,1.18214,1.18231,107,0,0
2026-02-18 16:45:00,1.18231,1.18242,1.18222,1.18235,100,0,0
2026-02-18 16:46:00,1.18235,1.18242,1.18234,1.18237,51,0,0
2026-02-18 16:47:00,1.18237,1.18255,1.18229,1.18255,92,0,0
2026-02-18 16:48:00,1.18255,1.18259,1.18244,1.18252,94,1,0
2026-02-18 16:49:00,1.18252,1.18263,1.18244,1.18256,71,0,0
2026-02-18 16:50:00,1.18256,1.18256,1.18222,1.1823,99,0,0
2026-02-18 16:51:00,1.1823,1.18237,1.18203,1.18209,120,0,0
