time,open,high,low,close,tick_volume,spread,real_volume
2026-02-18 16:37:00,5000.99,5001.93,4999.71,5001.25,530,4,0
2026-02-18 16:38:00,5001.25,5004.21,4998.46,4998.83,638,4,0
2026-02-18 16:39:00,4998.83,4999.46,4997.36,4999.32,448,4,0
2026-02-18 16:40:00,4999.32,5002.46,4998.67,5002.21,479,4,0
2026-02-18 16:41:00,5002.21,5002.61,4999.52,5000.98,414,4,0
2026-02-18 16:42:00,5001.0,5002.77,5000.56,5000.72,391,4,0
2026-02-18 16:43:00,5000.72,5002.33,5000.71,5001.9,543,4,0
2026-02-18 16:44:00,5001.9,5001.98,5000.16,5000.41,394,4,0
2026-02-18 16:45:00,5000.41,5000.57,4996.95,4997.59,544,4,0
2026-02-18 16:46:00,4997.59,4999.58,4996.62,4999.32,384,4,0
2026-02-18 16:47:00,4999.33,4999.33,4996.37,4997.05,505,4,0
2026-02-18 16:48:00,4997.21,4997.72,4996.55,4996.91,317,4,0
2026-02-18 16:49:00,4996.91,4998.65,4996.6,4998.55,398,4,0
2026-02-18 16:50:00,4998.55,4999.38,4997.9,4998.28,399,4,0
2026-02-18 16:51:00,4998.28,4999.16,4997.61,4998.18,296,4,0
2026-02-18 16:52:00,4998.16,4998.8,4996.34,4996.65,330,4,0
